id,state,county,count
10001,de,Kent County,6,
10003,de,New Castle County,9,
10005,de,Sussex County,1,
12001,fl,Alachua County,2,
12007,fl,Bradford County,3,
12009,fl,Brevard County,2,
12011,fl,Broward County,2,
12019,fl,Clay County,1,
12023,fl,Columbia County,3,
12031,fl,Duval County,7,
12033,fl,Escambia County,2,
12053,fl,Hernando County,1,
12057,fl,Hillsborough County,4,
12065,fl,Jefferson County,1,
12069,fl,Lake County,3,
12071,fl,Lee County,1,
12073,fl,Leon County,1,
12079,fl,Madison County,1,
12081,fl,Manatee County,1,
12083,fl,Marion County,3,
12085,fl,Martin County,1,
12086,fl,Miami-Dade County,12,
12087,fl,Monroe County,1,
12091,fl,Okaloosa County,1,
12095,fl,Orange County,8,
12097,fl,Osceola County,2,
12099,fl,Palm Beach County,2,
12103,fl,Pinellas County,6,
12105,fl,Polk County,3,
12109,fl,St. Johns County,3,
12111,fl,St. Lucie County,1,
12113,fl,Santa Rosa County,2,
12117,fl,Seminole County,1,
12127,fl,Volusia County,4,
12129,fl,Wakulla County,1,
13015,ga,Bartow County,1,
13019,ga,Berrien County,1,
13021,ga,Bibb County,5,
13023,ga,Bleckley County,1,
13027,ga,Brooks County,1,
13047,ga,Catoosa County,1,
13051,ga,Chatham County,4,
13067,ga,Cobb County,4,
13087,ga,Decatur County,1,
13089,ga,DeKalb County,1,
13097,ga,Douglas County,1,
13121,ga,Fulton County,4,
13127,ga,Glynn County,1,
13135,ga,Gwinnett County,2,
13139,ga,Hall County,1,
13153,ga,Houston County,1,
13169,ga,Jones County,1,
13175,ga,Laurens County,1,
13179,ga,Liberty County,2,
13207,ga,Monroe County,2,
13211,ga,Morgan County,1,
13215,ga,Muscogee County,5,
13217,ga,Newton County,1,
13219,ga,Oconee County,1,
13233,ga,Polk County,1,
13237,ga,Putnam County,1,
13245,ga,Richmond County,1,
13253,ga,Seminole County,1,
13255,ga,Spalding County,3,
13265,ga,Taliaferro County,1,
13321,ga,Worth County,1,
16001,id,Ada County,1,
16011,id,Bingham County,2,
17031,il,Cook County,5,
17043,il,DuPage County,2,
17111,il,McHenry County,1,
17119,il,Madison County,1,
17163,il,St. Clair County,2,
17201,il,Winnebago County,1,
18003,in,Allen County,1,
18011,in,Boone County,2,
18035,in,Delaware County,2,
18067,in,Howard County,1,
18077,in,Jefferson County,1,
18089,in,Lake County,2,
18095,in,Madison County,1,
18097,in,Marion County,5,
18153,in,Sullivan County,1,
18157,in,Tippecanoe County,1,
18163,in,Vanderburgh County,1,
18167,in,Vigo County,2,
21067,ky,Fayette County,1,
21111,ky,Jefferson County,1,
21151,ky,Madison County,1,
22015,la,Bossier Parish,3,
22017,la,Caddo Parish,1,
22019,la,Calcasieu Parish,1,
22033,la,East Baton Rouge Parish,3,
